alpha_dense,split,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
0.0,dev,390,0.4496988196988197,0.358974358974359,0.5769230769230769,0.6410256410256411,0.5841900691900692,0.4684031850295205
0.0,test,1146,0.43950524945289343,0.33595113438045376,0.5663176265270506,0.6378708551483421,0.578318351898823,0.4566842989642528
0.1,dev,390,0.4655474155474155,0.36923076923076925,0.6025641025641025,0.6666666666666666,0.6079181929181929,0.48418554054366386
0.1,test,1146,0.4658356187151998,0.36300174520069806,0.5977312390924956,0.6762652705061082,0.617024787987458,0.48521622775993256
0.2,dev,390,0.4778846153846154,0.37948717948717947,0.6102564102564103,0.6974358974358974,0.6342999592999593,0.499939302966117
0.2,test,1146,0.48447844815645863,0.37521815008726006,0.6230366492146597,0.7155322862129145,0.6492237408670392,0.5063362863380035
0.3,dev,390,0.48935795685795686,0.3717948717948718,0.6512820512820513,0.7512820512820513,0.6785551485551485,0.5196406313072494
0.3,test,1146,0.5073436937311283,0.39790575916230364,0.6544502617801047,0.7408376963350786,0.6737599892700552,0.528691540929922
0.4,dev,390,0.5060582010582011,0.382051282051282,0.7,0.7717948717948718,0.6986039886039886,0.536102911622856
0.4,test,1146,0.5245522729161473,0.4048865619546248,0.6780104712041884,0.7757417102966842,0.7096887621920851,0.5499721371560635
0.5,dev,390,0.5292989417989418,0.4128205128205128,0.7051282051282052,0.7769230769230769,0.7003886853886854,0.5524123545054562
0.5,test,1146,0.5447702844954153,0.4205933682373473,0.7041884816753927,0.7993019197207679,0.726375225892189,0.568289231720279
0.6,dev,390,0.5380291005291006,0.4256410256410256,0.7102564102564103,0.7564102564102564,0.6815140415140415,0.5506550856935671
0.6,test,1146,0.549822363500374,0.42408376963350786,0.7137870855148342,0.81239092495637,0.73964007331934,0.5754605316110719
0.7,dev,390,0.5183089133089133,0.4025641025641026,0.6794871794871795,0.7512820512820513,0.6811721611721612,0.5374102254886647
0.7,test,1146,0.5390509432394249,0.41535776614310643,0.7111692844677138,0.806282722513089,0.7351881762833977,0.5671660441857761
0.8,dev,390,0.5029415954415954,0.3923076923076923,0.6512820512820513,0.7230769230769231,0.6541107041107042,0.5195494195819272
0.8,test,1146,0.52358167816283,0.4013961605584642,0.6867364746945899,0.7827225130890052,0.7149937110627546,0.5519298509105817
0.9,dev,390,0.4897629222629223,0.38461538461538464,0.6307692307692307,0.7076923076923077,0.6427614977614978,0.5058165889329513
0.9,test,1146,0.5108759937948419,0.3944153577661431,0.6701570680628273,0.7661431064572426,0.6972285945449432,0.5375851423012836
1.0,dev,390,0.46623422873422876,0.36153846153846153,0.6128205128205129,0.6974358974358974,0.626992266992267,0.484765443365334
1.0,test,1146,0.49553207845092667,0.38045375218150085,0.6561954624781849,0.7460732984293194,0.6793105896466488,0.5214526310455209
